row_no,pl_date,frequency,gl_company_code,gl_account,counter_party_gl_code,intercompany_relationship,regulated_ind,fsa_eligibility_ind,party_id,currency_code,legacy_gl_account_number,base_balance,usd_balance,fx_rate,multiply_divide_ind,original_usd_balance,gl_product,gl_account_description,profit_center,profit_center_desc,legacy_consolidated_10q_level_1,legacy_consolidated_10q_level_2,legacy_consolidated_10q_level_3,legacy_consolidated_10q_level_4,legacy_consolidated_10q_level_5,legacy_consolidated_10q_level_6,legacy_consolidated_10q_level_7,profit_center_level_1,profit_center_level_2,profit_center_level_3,profit_center_level_4,profit_center_level_5,profit_center_level_6,profit_center_level_7
551,2023-01-01,Random_frequency_623,Random_gl_company_code_2,150500,Random_counter_party_gl_code_477,Random_intercompany_relationship_200,Random_regulated_ind_152,Random_fsa_eligibility_ind_704,Random_party_id_779,Random_currency_code_874,Random_legacy_gl_account_number_174,925.86,771.84,746.92,Random_multiply_divide_ind_46,45.44,Random_gl_product_731,Random_gl_account_description_536,Random_profit_center_344,Random_profit_center_desc_304,Random_legacy_consolidated_10q_level_1_335,Random_legacy_consolidated_10q_level_2_828,Random_legacy_consolidated_10q_level_3_15,Random_legacy_consolidated_10q_level_4_98,BLAH2,Random_legacy_consolidated_10q_level_6_597,Random_legacy_consolidated_10q_level_7_243,Random_profit_center_level_1_113,Random_profit_center_level_2_581,Random_profit_center_level_3_257,Random_profit_center_level_4_800,Random_profit_center_level_5_209,Random_profit_center_level_6_632,Random_profit_center_level_7_255
521,2023-02-01,Random_frequency_577,Random_gl_company_code_227,150500,Random_counter_party_gl_code_763,Random_intercompany_relationship_910,Random_regulated_ind_446,Random_fsa_eligibility_ind_294,Random_party_id_504,Random_currency_code_398,Random_legacy_gl_account_number_172,907.92,905.8,432.36,Random_multiply_divide_ind_627,793.85,Random_gl_product_529,Random_gl_account_description_375,Random_profit_center_520,Random_profit_center_desc_629,Random_legacy_consolidated_10q_level_1_812,Random_legacy_consolidated_10q_level_2_816,Random_legacy_consolidated_10q_level_3_221,Random_legacy_consolidated_10q_level_4_383,BLAH2,Random_legacy_consolidated_10q_level_6_60,Random_legacy_consolidated_10q_level_7_841,Random_profit_center_level_1_673,Random_profit_center_level_2_535,Random_profit_center_level_3_559,Random_profit_center_level_4_688,Random_profit_center_level_5_330,Random_profit_center_level_6_68,Random_profit_center_level_7_580
917,2023-01-01,Random_frequency_676,Random_gl_company_code_25,150500,Random_counter_party_gl_code_399,Random_intercompany_relationship_387,Random_regulated_ind_691,Random_fsa_eligibility_ind_945,Random_party_id_40,Random_currency_code_58,Random_legacy_gl_account_number_111,487.72,449.62,59.91,Random_multiply_divide_ind_864,57.29,Random_gl_product_82,Random_gl_account_description_137,Random_profit_center_450,Random_profit_center_desc_491,Random_legacy_consolidated_10q_level_1_774,Random_legacy_consolidated_10q_level_2_803,Random_legacy_consolidated_10q_level_3_978,Random_legacy_consolidated_10q_level_4_476,BLAH1,Random_legacy_consolidated_10q_level_6_449,Random_legacy_consolidated_10q_level_7_614,Random_profit_center_level_1_686,Random_profit_center_level_2_303,Random_profit_center_level_3_172,Random_profit_center_level_4_989,Random_profit_center_level_5_501,Random_profit_center_level_6_432,Random_profit_center_level_7_814
309,2023-02-01,Random_frequency_29,Random_gl_company_code_837,150100,Random_counter_party_gl_code_473,Random_intercompany_relationship_426,Random_regulated_ind_93,Random_fsa_eligibility_ind_371,Random_party_id_56,Random_currency_code_65,Random_legacy_gl_account_number_197,674.09,244.63,966.83,Random_multiply_divide_ind_589,936.2,Random_gl_product_135,Random_gl_account_description_108,Random_profit_center_39,Random_profit_center_desc_999,Random_legacy_consolidated_10q_level_1_999,Random_legacy_consolidated_10q_level_2_582,Random_legacy_consolidated_10q_level_3_922,Random_legacy_consolidated_10q_level_4_50,BLAH4,Random_legacy_consolidated_10q_level_6_689,Random_legacy_consolidated_10q_level_7_996,Random_profit_center_level_1_379,Random_profit_center_level_2_469,Random_profit_center_level_3_152,Random_profit_center_level_4_877,Random_profit_center_level_5_398,Random_profit_center_level_6_482,Random_profit_center_level_7_872
837,2023-01-01,Random_frequency_215,Random_gl_company_code_819,150100,Random_counter_party_gl_code_954,Random_intercompany_relationship_662,Random_regulated_ind_922,Random_fsa_eligibility_ind_11,Random_party_id_303,Random_currency_code_994,Random_legacy_gl_account_number_59,128.07,284.77,878.03,Random_multiply_divide_ind_847,573.24,Random_gl_product_194,Random_gl_account_description_747,Random_profit_center_30,Random_profit_center_desc_45,Random_legacy_consolidated_10q_level_1_33,Random_legacy_consolidated_10q_level_2_703,Random_legacy_consolidated_10q_level_3_730,Random_legacy_consolidated_10q_level_4_307,FAIL DELIVER,Random_legacy_consolidated_10q_level_6_845,Random_legacy_consolidated_10q_level_7_653,Random_profit_center_level_1_32,Random_profit_center_level_2_141,Random_profit_center_level_3_663,Random_profit_center_level_4_758,Random_profit_center_level_5_760,Random_profit_center_level_6_618,Random_profit_center_level_7_884
727,2023-01-01,Random_frequency_351,Random_gl_company_code_312,150500,Random_counter_party_gl_code_62,Random_intercompany_relationship_645,Random_regulated_ind_921,Random_fsa_eligibility_ind_881,Random_party_id_941,Random_currency_code_986,Random_legacy_gl_account_number_162,229.47,161.13,834.31,Random_multiply_divide_ind_52,878.69,Random_gl_product_817,Random_gl_account_description_996,Random_profit_center_46,Random_profit_center_desc_188,Random_legacy_consolidated_10q_level_1_321,Random_legacy_consolidated_10q_level_2_688,Random_legacy_consolidated_10q_level_3_49,Random_legacy_consolidated_10q_level_4_852,BLAH1,Random_legacy_consolidated_10q_level_6_795,Random_legacy_consolidated_10q_level_7_446,Random_profit_center_level_1_681,Random_profit_center_level_2_1,Random_profit_center_level_3_45,Random_profit_center_level_4_457,Random_profit_center_level_5_237,Random_profit_center_level_6_350,Random_profit_center_level_7_642
34,2023-02-01,Random_frequency_680,Random_gl_company_code_196,150200,Random_counter_party_gl_code_436,Random_intercompany_relationship_995,Random_regulated_ind_900,Random_fsa_eligibility_ind_969,Random_party_id_195,Random_currency_code_142,Random_legacy_gl_account_number_739,732.89,756.92,694.78,Random_multiply_divide_ind_138,949.45,Random_gl_product_298,Random_gl_account_description_714,Random_profit_center_164,Random_profit_center_desc_345,Random_legacy_consolidated_10q_level_1_26,Random_legacy_consolidated_10q_level_2_706,Random_legacy_consolidated_10q_level_3_636,Random_legacy_consolidated_10q_level_4_186,BLAH1,Random_legacy_consolidated_10q_level_6_617,Random_legacy_consolidated_10q_level_7_500,Random_profit_center_level_1_223,Random_profit_center_level_2_801,Random_profit_center_level_3_446,Random_profit_center_level_4_839,Random_profit_center_level_5_129,Random_profit_center_level_6_285,Random_profit_center_level_7_783
299,2023-02-01,Random_frequency_849,Random_gl_company_code_918,150300,Random_counter_party_gl_code_515,Random_intercompany_relationship_756,Random_regulated_ind_534,Random_fsa_eligibility_ind_352,Random_party_id_996,Random_currency_code_68,Random_legacy_gl_account_number_946,77.12,712.73,314.25,Random_multiply_divide_ind_82,974.35,Random_gl_product_80,Random_gl_account_description_310,Random_profit_center_555,Random_profit_center_desc_180,Random_legacy_consolidated_10q_level_1_771,Random_legacy_consolidated_10q_level_2_486,Random_legacy_consolidated_10q_level_3_187,Random_legacy_consolidated_10q_level_4_229,BLAH2,Random_legacy_consolidated_10q_level_6_712,Random_legacy_consolidated_10q_level_7_620,Random_profit_center_level_1_870,Random_profit_center_level_2_724,Random_profit_center_level_3_109,Random_profit_center_level_4_613,Random_profit_center_level_5_555,Random_profit_center_level_6_498,Random_profit_center_level_7_605
574,2023-02-01,Random_frequency_485,Random_gl_company_code_56,150100,Random_counter_party_gl_code_928,Random_intercompany_relationship_351,Random_regulated_ind_597,Random_fsa_eligibility_ind_919,Random_party_id_550,Random_currency_code_358,Random_legacy_gl_account_number_284,263.35,946.88,424.15,Random_multiply_divide_ind_703,63.06,Random_gl_product_157,Random_gl_account_description_157,Random_profit_center_743,Random_profit_center_desc_403,Random_legacy_consolidated_10q_level_1_188,Random_legacy_consolidated_10q_level_2_850,Random_legacy_consolidated_10q_level_3_309,Random_legacy_consolidated_10q_level_4_178,BLAH2,Random_legacy_consolidated_10q_level_6_65,Random_legacy_consolidated_10q_level_7_541,Random_profit_center_level_1_507,Random_profit_center_level_2_154,Random_profit_center_level_3_68,Random_profit_center_level_4_807,Random_profit_center_level_5_427,Random_profit_center_level_6_707,Random_profit_center_level_7_645
459,2023-02-01,Random_frequency_158,Random_gl_company_code_205,150400,Random_counter_party_gl_code_377,Random_intercompany_relationship_845,Random_regulated_ind_768,Random_fsa_eligibility_ind_523,Random_party_id_215,Random_currency_code_305,Random_legacy_gl_account_number_897,862.73,292.72,328.56,Random_multiply_divide_ind_667,772.27,Random_gl_product_943,Random_gl_account_description_697,Random_profit_center_888,Random_profit_center_desc_99,Random_legacy_consolidated_10q_level_1_283,Random_legacy_consolidated_10q_level_2_746,Random_legacy_consolidated_10q_level_3_156,Random_legacy_consolidated_10q_level_4_113,BLAH2,Random_legacy_consolidated_10q_level_6_979,Random_legacy_consolidated_10q_level_7_224,Random_profit_center_level_1_475,Random_profit_center_level_2_248,Random_profit_center_level_3_727,Random_profit_center_level_4_115,Random_profit_center_level_5_670,Random_profit_center_level_6_736,Random_profit_center_level_7_273
